date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-05-15,13.740999,7.341,0.4,5405.024,314.76855,12.24,27.0,9.839998,17.041666
2026-05-16,15.441,6.941,0.7,33933.637,265.00876,15.84,34.2,10.3949995,7.6666665
2026-05-17,15.6045,10.691,4.475,35751.61,248.56311,16.56,33.12,12.615001,41.041668
2026-05-18,15.304501,8.804501,1.5000001,52873.055,226.98015,16.199999,33.48,12.585001,39.708332
2026-05-19,19.154501,11.4045,2.9999995,31536.094,209.32065,21.96,45.0,17.535002,56.583332
2026-05-20,20.0545,12.9045,0.0,43750.16,224.96198,18.0,38.519997,15.240001,14.0
2026-05-21,19.25,13.2545,0.0,56463.633,209.16046,12.959999,26.64,6.8392916,1.5416666
