date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-05-15,19.8825,14.5825,3.1,14842.878,288.81198,13.684735,30.239998,6.682044,17.458334
2026-05-16,22.1325,10.8325,0.0,50400.0,167.36096,16.323528,37.8,8.857817,0.0
2026-05-17,22.2325,13.0825,0.2,40571.56,99.38908,14.693999,35.64,6.2173996,3.6666667
2026-05-18,22.7825,13.9825,0.0,50400.0,95.00293,13.849477,33.12,7.3064365,3.625
2026-05-19,26.3825,15.4325,0.0,47228.977,110.64055,17.429354,39.239998,8.378304,0.041666668
2026-05-20,27.3145,14.6145,0.0,50480.188,95.65898,15.042659,35.28,6.934517,0.0
2026-05-21,26.3645,17.8145,0.0,48481.465,92.14755,16.039202,36.0,6.1922603,0.0
