date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-06-03,19.075998,12.626,2.0,27581.121,223.48398,18.359999,38.88,15.975001,62.583332
2026-06-04,16.976,13.426,4.5,9176.098,220.77388,22.68,55.44,17.685,71.958336
2026-06-05,18.776,12.576,0.2,39592.246,231.53477,19.08,42.48,14.646765,36.583332
2026-06-06,18.85,10.6,0.8,32444.64,206.67368,22.037323,51.48,14.569922,24.458334
2026-06-07,18.95,12.9,0.0,56568.062,235.1033,18.193361,42.12,12.985545,7.5416665
2026-06-08,22.45,13.3,0.6,51543.32,223.89534,19.098671,43.92,12.371952,29.75
2026-06-09,16.0,10.65,1.8000002,49412.906,255.31477,18.584509,43.92,15.951765,31.291666
