date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-05-18,19.752,8.452,0.0,45824.605,121.19918,14.4,33.839996,8.792189,0.0
2026-05-19,19.452,10.102,0.2,48687.305,250.94885,9.565437,23.4,6.003911,8.458333
2026-05-20,19.088999,11.938999,4.4,14623.803,208.28897,10.97262,28.8,6.393531,11.208333
2026-05-21,20.139,12.389,2.1000001,46944.81,262.61404,14.77755,46.44,8.643109,11.666667
2026-05-22,22.189,13.639,0.0,36014.375,306.4404,11.019764,30.599998,5.970407,0.125
2026-05-23,26.226,14.076,0.0,57233.742,114.69817,7.5170207,22.68,4.259227,2.3333333
2026-05-24,29.476,15.676,0.0,57304.79,130.0216,7.7879906,22.319998,4.46909,13.708333
